image,freshness,temperature
eye-fresh\IMG_20210123_161853_resized_cropped_jpg.rf.2280dd73b31884aaa85bf1b92e1d6068.jpg,fresh,1.78
eye-fresh\IMG_20210123_161853_resized_cropped_jpg.rf.389b4868508cb7685da6ea0c94eb1ad0.jpg,fresh,2.14
eye-fresh\IMG_20210123_161858_resized_cropped_jpg.rf.1c342c37f6321a838308eca5749eb703.jpg,fresh,0.97
eye-fresh\IMG_20210123_161858_resized_cropped_jpg.rf.d932a9dd016749d9d2ab7233603c5cfb.jpg,fresh,2.11
eye-fresh\IMG_20210123_161858_resized_cropped_jpg.rf.f50fd9355978dc922f24ad58758c46f2.jpg,fresh,2.86
eye-fresh\IMG_20210203_124643_resized_cropped_jpg.rf.076656ae58798b5f1bf64781c9d52fb3.jpg,fresh,1.79
eye-fresh\IMG_20210203_124643_resized_cropped_jpg.rf.0aec5bd2f564bf3d65605fe7dfc126fc.jpg,fresh,0
eye-fresh\IMG_20210203_124643_resized_cropped_jpg.rf.ba61c1d6ba5090d3162ce44f318aaf4f.jpg,fresh,0.34
eye-fresh\IMG_20210203_124647_resized_cropped_jpg.rf.050a75c7fccf4f243f7f4a78b492fd6b.jpg,fresh,1.45
eye-fresh\IMG_20210203_124647_resized_cropped_jpg.rf.09567521cfc7e169c83fe6ba4eb9ae37.jpg,fresh,0.39
eye-fresh\IMG_20210203_124647_resized_cropped_jpg.rf.f4e005ba888fe4511d5c9087a2c86555.jpg,fresh,1.46
eye-fresh\IMG_20210203_124720_resized_cropped_jpg.rf.1be1d17ccf2576df6050157dc25ad75c.jpg,fresh,1.79
eye-fresh\IMG_20210203_124720_resized_cropped_jpg.rf.2b7cbf99f4aa81405ca2d9376186b140.jpg,fresh,3.26
eye-fresh\IMG_20210203_124720_resized_cropped_jpg.rf.b799aae803af9f6d1287f8128cb2f620.jpg,fresh,2.37
eye-fresh\IMG_20210203_143002_resized_cropped_jpg.rf.340e80af58675647db937b882a78ea30.jpg,fresh,1.14
eye-fresh\IMG_20210203_143002_resized_cropped_jpg.rf.9bbbd390c36710835445cda5c075e02a.jpg,fresh,3.81
eye-fresh\IMG_20210203_143002_resized_cropped_jpg.rf.e52e4e05177c04c74a7b5b39b40a5aea.jpg,fresh,1.74
eye-fresh\IMG_20210203_143006_resized_cropped_jpg.rf.809d3e423e1ccce1f8f70cf3a518d280.jpg,fresh,3.03
eye-fresh\IMG_20210203_143006_resized_cropped_jpg.rf.8ca4c6ed7ae080f74209b69b6668ed5e.jpg,fresh,2.37
eye-fresh\IMG_20210203_143006_resized_cropped_jpg.rf.c8d0a6f510953d86d010f7a6db665d84.jpg,fresh,0.42
eye-fresh\IMG_20210203_143036_resized_cropped_jpg.rf.0dcf21149a779754883ba65d0c1064f4.jpg,fresh,3.55
eye-fresh\IMG_20210203_143036_resized_cropped_jpg.rf.60e58a2779451dbc1e646644142cefe8.jpg,fresh,2.48
eye-fresh\IMG_20210203_143036_resized_cropped_jpg.rf.ff7181eb9d10a9a678c344bbab769bd4.jpg,fresh,2.91
eye-fresh\IMG_20210203_143045_resized_cropped_jpg.rf.bf91c3c3d3d132764438d34342c8a32f.jpg,fresh,0.24
eye-fresh\IMG_20210203_143045_resized_cropped_jpg.rf.c5bbf9d06a26899b013c7fc46507fb95.jpg,fresh,0.8
eye-fresh\IMG_20210203_143045_resized_cropped_jpg.rf.eb5b7d8ae22eb26465ad6eed3dcb68a4.jpg,fresh,1.38
eye-fresh\IMG_20210203_153455_resized_cropped_jpg.rf.58b15786b60ac85dbee73dfcc99cd664.jpg,fresh,1.71
eye-fresh\IMG_20210203_153455_resized_cropped_jpg.rf.601dc9f23bb8ed1e3d2f634c2dbe3a78.jpg,fresh,0.13
eye-fresh\IMG_20210203_153455_resized_cropped_jpg.rf.fcd0ca31596539c5f814a0c050ff6331.jpg,fresh,0.89
eye-fresh\IMG_20210203_153500_resized_cropped_jpg.rf.9971f22bf9a8c7f8e2d6e01b1802e815.jpg,fresh,0.84
eye-fresh\IMG_20210203_153500_resized_cropped_jpg.rf.9f245dd38bdf023a37bdd1be336e693b.jpg,fresh,2.2
eye-fresh\IMG_20210203_153500_resized_cropped_jpg.rf.f6b3d70eed91d47103773bb9e69d8050.jpg,fresh,3.13
eye-fresh\IMG_20210203_153515_resized_cropped_jpg.rf.40b8ce3e5cf54e7497da826d0edf775f.jpg,fresh,2.16
eye-fresh\IMG_20210203_153515_resized_cropped_jpg.rf.a3c7d8e2b049fad58ae5338ea2e3ca40.jpg,fresh,2.24
eye-fresh\IMG_20210203_153515_resized_cropped_jpg.rf.dd125b568b5567437b8ae5f75cc73888.jpg,fresh,0.08
eye-fresh\IMG_20210203_153519_resized_cropped_jpg.rf.3fb76351c21e7f718c363df591e732d3.jpg,fresh,1.84
eye-fresh\IMG_20210203_153519_resized_cropped_jpg.rf.e713f49284010100f858566aa5879b2e.jpg,fresh,3.34
eye-fresh\IMG_20210203_153519_resized_cropped_jpg.rf.e7eb0bd2a6db1873709edcbc41df23ce.jpg,fresh,3.83
eye-fresh\mataSegar1-Small_jpeg.rf.3bf95233582b9645d46ce91796cb4ef1.jpg,fresh,2.94
eye-fresh\mataSegar1-Small_jpeg.rf.cc3b7a5608ea718ed066a66bc9e1a351.jpg,fresh,2.47
eye-fresh\mataSegar1-Small_jpeg.rf.d181f30bcad3e3d281f8bac727e0f58e.jpg,fresh,2.77
eye-fresh\mataSegar10-Small_jpeg.rf.0563e9e1b178ee3e41c5c0441c3dae2d.jpg,fresh,3.26
eye-fresh\mataSegar10-Small_jpeg.rf.4d6a6aca4f4578274459bed08835d35c.jpg,fresh,3.75
eye-fresh\mataSegar10-Small_jpeg.rf.d11875c507082ab0de47b068de49f520.jpg,fresh,0.09
eye-fresh\mataSegar100_jpeg.rf.3e34c71e8615db483b0c8f0bf94dfb8b.jpg,fresh,2.98
eye-fresh\mataSegar100_jpeg.rf.84c53f1b8ac9060bbe9c0ced303dbd20.jpg,fresh,3.91
eye-fresh\mataSegar100_jpeg.rf.9fb9a826913aecc8ba66f7d53d1c6871.jpg,fresh,3.8
eye-fresh\mataSegar101-Small_jpeg.rf.2c648ebbe5312ce5c265b65eea5f07f7.jpg,fresh,1.51
eye-fresh\mataSegar101-Small_jpeg.rf.6ee03779fbdbb951181d1073e87a4f6c.jpg,fresh,2.55
eye-fresh\mataSegar101-Small_jpeg.rf.cc73143510ad65c9d91e425a8e72ff37.jpg,fresh,2.5
eye-fresh\mataSegar101_jpeg.rf.1c7a5b22c6c04bf1fb9de1295e0ff4cf.jpg,fresh,2.77
eye-fresh\mataSegar101_jpeg.rf.8f497d7c6262decd286d49b42ffe4fd0.jpg,fresh,2.08
eye-fresh\mataSegar101_jpeg.rf.d65fad5b822d9b0b5398628f6e95fac2.jpg,fresh,2.53
eye-fresh\mataSegar104-Small_jpeg.rf.65efd947d337cb37722ee92af3113389.jpg,fresh,2.91
eye-fresh\mataSegar104-Small_jpeg.rf.747e21c39eebc174b5bf9968549be337.jpg,fresh,2.53
eye-fresh\mataSegar104-Small_jpeg.rf.d52722fcafec0a40c3ecb289dfa0ec7b.jpg,fresh,2.33
eye-fresh\mataSegar106-Small_jpeg.rf.a83f76c397eca3f4956c86ce91f02b83.jpg,fresh,1.67
eye-fresh\mataSegar106-Small_jpeg.rf.ae2f734271fd36ea4c121b624b8e2aa6.jpg,fresh,1.28
eye-fresh\mataSegar106-Small_jpeg.rf.e5acf0670f22212bfa997f856bc3944c.jpg,fresh,3.91
eye-fresh\mataSegar106_jpeg.rf.2900009dd8e2dfdac9a0c5bec97b6460.jpg,fresh,0.37
eye-fresh\mataSegar106_jpeg.rf.2af36d8ba3ecc631367af6cbcf0d874e.jpg,fresh,2.6
eye-fresh\mataSegar106_jpeg.rf.b1611fd1f10d5d5704fb3a0e248d6085.jpg,fresh,1.54
eye-fresh\mataSegar107-2-Small_jpeg.rf.560ec1c38eb6caa3416cce7d2c160c84.jpg,fresh,2.15
eye-fresh\mataSegar107-2-Small_jpeg.rf.a2c4e33e4b8bda9fe6d9d85eb3094b8b.jpg,fresh,2.12
eye-fresh\mataSegar107-2-Small_jpeg.rf.c2326a77a275a7c87eb2dd0854b255c1.jpg,fresh,0.58
eye-fresh\mataSegar107-3-Small_jpeg.rf.9ab1b31c5f4fc4928ae134d2cdd6bb57.jpg,fresh,0.1
eye-fresh\mataSegar107-3-Small_jpeg.rf.cc464d601df8279b308c3069e6f3e5d2.jpg,fresh,1.54
eye-fresh\mataSegar107-3-Small_jpeg.rf.e596359385e8f2db7e95d77de251300b.jpg,fresh,0.62
eye-fresh\mataSegar107-3_jpeg.rf.1c0ae27e430547967be2147f0a9bbff5.jpg,fresh,0.44
eye-fresh\mataSegar107-3_jpeg.rf.ad2c7cf31482df38c7275a01f141da46.jpg,fresh,0.75
eye-fresh\mataSegar107-3_jpeg.rf.ee73ee819c6796eebbe34163ec86f4bd.jpg,fresh,0.65
eye-fresh\mataSegar108-2_jpeg.rf.3534d9c28db5e0d2729e595c4079684b.jpg,fresh,3.94
eye-fresh\mataSegar108-2_jpeg.rf.3b6e90506d01f032423b90099fd86c98.jpg,fresh,1.79
eye-fresh\mataSegar108-2_jpeg.rf.c933e7ffb28faf6c02a376f59a8a3c9a.jpg,fresh,3.32
eye-fresh\mataSegar108-3-Small_jpeg.rf.37bf7ba644ce7a3a683b67ade2fb8a5c.jpg,fresh,2.87
eye-fresh\mataSegar108-3-Small_jpeg.rf.73abfd9bec12941434a30b2e69510f0f.jpg,fresh,3.49
eye-fresh\mataSegar108-3-Small_jpeg.rf.ba8c65b22cde963f0db187a5fc44df29.jpg,fresh,0.52
eye-fresh\mataSegar108-4-Small_jpeg.rf.1f78e97d1891a415337aa418080aebbb.jpg,fresh,3.21
eye-fresh\mataSegar108-4-Small_jpeg.rf.3c665a9c1b0b66db99dad0d7512a4a10.jpg,fresh,1.63
eye-fresh\mataSegar108-4-Small_jpeg.rf.5ceb3894c924a555a1a968d244c8f7ad.jpg,fresh,0.28
eye-fresh\mataSegar108-4_jpeg.rf.279624861f976a9e527b723d7e25bdd5.jpg,fresh,3.67
eye-fresh\mataSegar108-4_jpeg.rf.2f554724301a90b5e96a2b8ad7424dd9.jpg,fresh,1.09
eye-fresh\mataSegar108-4_jpeg.rf.e96c86b0c8f3b5412b5460c3fb693ba7.jpg,fresh,0.71
eye-fresh\mataSegar108_jpeg.rf.01673b059e6ebef5ca54d948dbb27a68.jpg,fresh,1.5
eye-fresh\mataSegar108_jpeg.rf.3cccd7104f71e380718f4771de9e178e.jpg,fresh,1.35
eye-fresh\mataSegar108_jpeg.rf.6bca5708cd82f5aef7ee68299ca84bc5.jpg,fresh,0.41
eye-fresh\mataSegar109-2-Small_jpeg.rf.066e9cd8327f77bec0eb52581bebddcd.jpg,fresh,3.71
eye-fresh\mataSegar109-2-Small_jpeg.rf.29977b4ec326b910c9355212c5c0fa84.jpg,fresh,0.19
eye-fresh\mataSegar109-2-Small_jpeg.rf.5a389f383f87eb7b3a54d90a64ed02fc.jpg,fresh,2.26
eye-fresh\mataSegar109-2_jpeg.rf.5e168455b302341f4b32d5a984e62a08.jpg,fresh,2.94
eye-fresh\mataSegar109-2_jpeg.rf.e4aaa931f007817ba98e87b8b49366d3.jpg,fresh,3.97
eye-fresh\mataSegar109-2_jpeg.rf.e4b675b647bc6fe90395502627bb36b4.jpg,fresh,1.15
eye-fresh\mataSegar109-3-Small_jpeg.rf.21b1348a447c6a83481d4732a575cbc5.jpg,fresh,1.44
eye-fresh\mataSegar109-3-Small_jpeg.rf.6581cc3015a0bb8ae53053265f2d03ae.jpg,fresh,2.92
eye-fresh\mataSegar109-3-Small_jpeg.rf.6884bd35f97c63d37bad2c6693e9f69d.jpg,fresh,1.75
eye-fresh\mataSegar109-3_jpeg.rf.2cb141827b4237e166aeed40381190d1.jpg,fresh,0.01
eye-fresh\mataSegar109-3_jpeg.rf.89e1c58530a498a4c9d6204f8ea9cf0c.jpg,fresh,1.61
eye-fresh\mataSegar109-3_jpeg.rf.fce1213fa3f135dbebfab87a4c8cb4cd.jpg,fresh,2.47
eye-fresh\mataSegar109-4-Small_jpeg.rf.1ee8007adb9f9ff8a86189c8599d1a85.jpg,fresh,0.15
eye-fresh\mataSegar109-4-Small_jpeg.rf.8688d6593110bd21b86f112f1f3e5af3.jpg,fresh,2.24
eye-fresh\mataSegar109-4-Small_jpeg.rf.d5c59c29eb41da78fd8b87eba6af065e.jpg,fresh,0.76
eye-fresh\mataSegar109-4_jpeg.rf.9f9cb2f03fa4b7d0f9f991db80922d17.jpg,fresh,1.76
eye-fresh\mataSegar109-4_jpeg.rf.ab5dabbf40ec7893a4591c0e87ca336b.jpg,fresh,0.68
eye-fresh\mataSegar109-4_jpeg.rf.bc94130fb5117db093c6ddc1a1e7769e.jpg,fresh,1.27
eye-fresh\mataSegar109-Small_jpeg.rf.18f5c1ed258c576ccc3402bc4c7d75e0.jpg,fresh,3.54
eye-fresh\mataSegar109-Small_jpeg.rf.612423399df5baebba2233e9453a92e4.jpg,fresh,1.64
eye-fresh\mataSegar109-Small_jpeg.rf.95ff5c1fd19585d5fffc0a3f91e67cb2.jpg,fresh,2.73
eye-fresh\mataSegar109_jpeg.rf.ac1804f6d67fbc4c9a0dc6b60d2e7a26.jpg,fresh,1.56
eye-fresh\mataSegar109_jpeg.rf.bfb7cd6ac8b9bad201f6921ea5b8d0cc.jpg,fresh,2.32
eye-fresh\mataSegar109_jpeg.rf.f34b4646b39ce68e248b84695b87a55e.jpg,fresh,1.01
eye-fresh\mataSegar10_jpeg.rf.69bf1fcb91b128e6bc8d19f6536bb5bd.jpg,fresh,2.04
eye-fresh\mataSegar10_jpeg.rf.7574e43e86318e9ff85c2a2dfa56a488.jpg,fresh,2.61
eye-fresh\mataSegar10_jpeg.rf.e59dee9efe4ea45b9d1cdba86e39c2a2.jpg,fresh,3.51
eye-fresh\mataSegar110-2-Small_jpeg.rf.00fbcd6bab20998305e0d9f33eb7fb53.jpg,fresh,1.6
eye-fresh\mataSegar110-2-Small_jpeg.rf.6a350ce5362724caad5bd65cdbe6a66d.jpg,fresh,1.45
eye-fresh\mataSegar110-2-Small_jpeg.rf.81b29746716cc15211fae2d74a1e6b40.jpg,fresh,0.56
eye-fresh\mataSegar110-2_jpeg.rf.1a361307ca9a241ab6a5de78a7310996.jpg,fresh,0.06
eye-fresh\mataSegar110-2_jpeg.rf.363bba9ad3ba064db1ba8fff1bb14612.jpg,fresh,2.97
eye-fresh\mataSegar110-2_jpeg.rf.c9f16e9d3748132c4c39f9fae0264c79.jpg,fresh,2.46
eye-fresh\mataSegar110-3_jpeg.rf.313e9f886cdd177df45ee82322c34f31.jpg,fresh,1.57
eye-fresh\mataSegar110-3_jpeg.rf.3296a2a84bd1637f42956a2da2aced17.jpg,fresh,1.13
eye-fresh\mataSegar110-3_jpeg.rf.492d83114a6a63ff634d55879d7df2ba.jpg,fresh,2.22
eye-fresh\mataSegar110-Small_jpeg.rf.88f895f64fca751451cb14305a84ff8f.jpg,fresh,1.25
eye-fresh\mataSegar110-Small_jpeg.rf.bd0098d1e1d370ee922581c4359455ba.jpg,fresh,0.41
eye-fresh\mataSegar110-Small_jpeg.rf.e65a8938d1c5717247cc1ea863a4e37b.jpg,fresh,3.09
eye-fresh\mataSegar110_jpeg.rf.1d3b5d17a999ed5b36c29f188c107f10.jpg,fresh,3.15
eye-fresh\mataSegar110_jpeg.rf.2ea61edcfddc9be1906a3360cb444373.jpg,fresh,3.7
eye-fresh\mataSegar110_jpeg.rf.a566e077cae11483f780182ffd14ac95.jpg,fresh,0.25
eye-fresh\mataSegar111-2_jpeg.rf.48381d92f1bf915e1a18118aeda8dd2d.jpg,fresh,2.79
eye-fresh\mataSegar111-2_jpeg.rf.68b1463016445bdb55b99c2d476a716e.jpg,fresh,2.76
eye-fresh\mataSegar111-2_jpeg.rf.f4702ad7ff7b1491348c238dc0150197.jpg,fresh,3.25
eye-fresh\mataSegar112-2-Small_jpeg.rf.b31a2b4c9f485488c25ea423110be9eb.jpg,fresh,1.45
eye-fresh\mataSegar112-2-Small_jpeg.rf.bc6084df92ca88987df2ee728018a1c2.jpg,fresh,2.26
eye-fresh\mataSegar112-2-Small_jpeg.rf.da4961b9cb97578e55d7644e011660d7.jpg,fresh,3.55
eye-fresh\mataSegar112-2_jpeg.rf.04bc8d3d99f2a81d53ba4e7f7f864cbd.jpg,fresh,0.6
eye-fresh\mataSegar112-2_jpeg.rf.745ba2b4b21b42ef752303cde997a6f0.jpg,fresh,3.38
eye-fresh\mataSegar112-2_jpeg.rf.c2ab5c797bfaf584f4c8d5e875d28761.jpg,fresh,2.36
eye-fresh\mataSegar112-3-Small_jpeg.rf.34c08521d5c3c4569e319aff9ae24700.jpg,fresh,1.42
eye-fresh\mataSegar112-3-Small_jpeg.rf.5e8e192e848994bca4bf3931a2652670.jpg,fresh,0.88
eye-fresh\mataSegar112-3-Small_jpeg.rf.6ca803538d68dceaffcd152e383b2404.jpg,fresh,1.73
eye-fresh\mataSegar112-3_jpeg.rf.0eca6ca25edef7f703f6422f2c7c2d06.jpg,fresh,0.81
eye-fresh\mataSegar112-3_jpeg.rf.352b94d2509f0427762c34a9cc875a6e.jpg,fresh,3.21
eye-fresh\mataSegar112-3_jpeg.rf.89a300d1ef35bb88cc47381bd849193e.jpg,fresh,2.65
eye-fresh\mataSegar112_jpeg.rf.2dd644242c1796d045623f9d7b33f34e.jpg,fresh,1.17
eye-fresh\mataSegar112_jpeg.rf.3b4c01c306397e7c4309e0d886e3ad45.jpg,fresh,1.92
eye-fresh\mataSegar112_jpeg.rf.597cea522b0c1356aed1dfc4b870e6c6.jpg,fresh,2.27
eye-fresh\mataSegar113-2_jpeg.rf.024cd4774c135fc9271fe43a2e6022fa.jpg,fresh,1.66
eye-fresh\mataSegar113-2_jpeg.rf.9416c7b9a4130e10ae5b9cacf187569a.jpg,fresh,1.51
eye-fresh\mataSegar113-2_jpeg.rf.a06a8754dc541905d4e43240205fa154.jpg,fresh,0.38
eye-fresh\mataSegar113-Small_jpeg.rf.75ea95cce63a062f584ae8ec5392b096.jpg,fresh,0.06
eye-fresh\mataSegar113-Small_jpeg.rf.9c484a10535df002d81afd4e22289d62.jpg,fresh,2.82
eye-fresh\mataSegar113-Small_jpeg.rf.fe913e4862714035dd31e74e65205903.jpg,fresh,3.94
eye-fresh\mataSegar113_jpeg.rf.1722eea273416f9b2e097b05325d2776.jpg,fresh,1.18
